Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
             75	         5	80000080	00500513	addi	x10,x0,5	  x0:0x00000000 x10=0x00000005
             85	         6	80000084	00100593	addi	x11,x0,1	  x0:0x00000000 x11=0x00000001
             95	         7	80000088	00200613	addi	x12,x0,2	  x0:0x00000000 x12=0x00000002
            105	         8	8000008c	00300693	addi	x13,x0,3	  x0:0x00000000 x13=0x00000003
            115	         9	80000090	00400713	addi	x14,x0,4	  x0:0x00000000 x14=0x00000004
            125	        10	80000094	00500793	addi	x15,x0,5	  x0:0x00000000 x15=0x00000005
            135	        11	80000098	00600813	addi	x16,x0,6	  x0:0x00000000 x16=0x00000006
            145	        12	8000009c	00700893	addi	x17,x0,7	  x0:0x00000000 x17=0x00000007
            155	        13	800000a0	00500913	addi	x18,x0,5	  x0:0x00000000 x18=0x00000005
            165	        14	800000a4	01900993	addi	x19,x0,25	  x0:0x00000000 x19=0x00000019
            175	        15	800000a8	01400a13	addi	x20,x0,20	  x0:0x00000000 x20=0x00000014
            185	        16	800000ac	00500513	addi	x10,x0,5	  x0:0x00000000 x10=0x00000005
            205	        18	800000b0	010000ef	jal	x1,800000c0	  x1=0x800000b4
            215	        19	800000c0	000503b3	add	x7,x10,x0	 x10:0x00000005  x0:0x00000000  x7=0x00000005
            225	        20	800000c4	00100513	addi	x10,x0,1	  x0:0x00000000 x10=0x00000001
            245	        22	800000c8	00039463	bne	x7,x0,800000d0	  x7:0x00000005  x0:0x00000000  x0=0x00000000
            265	        24	800000d0	00038863	beq	x7,x0,800000e0	  x7:0x00000005  x0:0x00000000  x0=0x00000000
            295	        27	800000d4	02750533	mul	x10,x10,x7	 x10:0x00000001  x7:0x00000005 x10=0x00000005
            305	        28	800000d8	fff38393	addi	x7,x7,-1	  x7:0x00000005  x7=0x00000004
            325	        30	800000dc	ff5ff06f	jal	x0,800000d0	  x0=0x00000000
            335	        31	800000d0	00038863	beq	x7,x0,800000e0	  x7:0x00000004  x0:0x00000000  x0=0x00000000
            365	        34	800000d4	02750533	mul	x10,x10,x7	 x10:0x00000005  x7:0x00000004 x10=0x00000014
            375	        35	800000d8	fff38393	addi	x7,x7,-1	  x7:0x00000004  x7=0x00000003
            395	        37	800000dc	ff5ff06f	jal	x0,800000d0	  x0=0x00000000
            405	        38	800000d0	00038863	beq	x7,x0,800000e0	  x7:0x00000003  x0:0x00000000  x0=0x00000000
            435	        41	800000d4	02750533	mul	x10,x10,x7	 x10:0x00000014  x7:0x00000003 x10=0x0000003c
            445	        42	800000d8	fff38393	addi	x7,x7,-1	  x7:0x00000003  x7=0x00000002
            465	        44	800000dc	ff5ff06f	jal	x0,800000d0	  x0=0x00000000
            475	        45	800000d0	00038863	beq	x7,x0,800000e0	  x7:0x00000002  x0:0x00000000  x0=0x00000000
            505	        48	800000d4	02750533	mul	x10,x10,x7	 x10:0x0000003c  x7:0x00000002 x10=0x00000078
            515	        49	800000d8	fff38393	addi	x7,x7,-1	  x7:0x00000002  x7=0x00000001
            535	        51	800000dc	ff5ff06f	jal	x0,800000d0	  x0=0x00000000
            545	        52	800000d0	00038863	beq	x7,x0,800000e0	  x7:0x00000001  x0:0x00000000  x0=0x00000000
            575	        55	800000d4	02750533	mul	x10,x10,x7	 x10:0x00000078  x7:0x00000001 x10=0x00000078
            585	        56	800000d8	fff38393	addi	x7,x7,-1	  x7:0x00000001  x7=0x00000000
            605	        58	800000dc	ff5ff06f	jal	x0,800000d0	  x0=0x00000000
            625	        60	800000d0	00038863	beq	x7,x0,800000e0	  x7:0x00000000  x0:0x00000000  x0=0x00000000
            655	        63	800000e0	00008067	jalr	x0,0(x1)	  x1:0x800000b4  x0=0x00000000
            665	        64	800000b4	00a005b3	add	x11,x0,x10	  x0:0x00000000 x10:0x00000078 x11=0x00000078
            675	        65	800000b8	00a00513	addi	x10,x0,10	  x0:0x00000000 x10=0x0000000a
            685	        66	800000bc	00000073	ecall	
